,revision_id,article_quality_est,article_name,country,geographic region,population,_merge
615,789546102.0,Stub,Antonín Prachař,Czech Republic,,,left_only
616,789546147.0,Stub,Milan Horálek,Czech Republic,,,left_only
617,790372008.0,C,Antonín Novotný,Czech Republic,,,left_only
618,790608148.0,Stub,Zuzana Brzobohatá,Czech Republic,,,left_only
619,790608180.0,Stub,Alena Palečková,Czech Republic,,,left_only
620,790608186.0,Start,Zuzana Roithová,Czech Republic,,,left_only
621,790838510.0,Stub,"List of MPs elected in the Czech legislative election, 2017",Czech Republic,,,left_only
622,791374581.0,Start,Martin Jahn,Czech Republic,,,left_only
623,792417439.0,Stub,Pavel Rychetský,Czech Republic,,,left_only
624,792476721.0,Start,Gustáv Slamečka,Czech Republic,,,left_only
625,793087579.0,Stub,Edvard Kožušník,Czech Republic,,,left_only
626,793642926.0,C,Jan Masaryk,Czech Republic,,,left_only
627,794146543.0,Stub,Jan Koukal,Czech Republic,,,left_only
628,794995687.0,Start,Pavel Bém,Czech Republic,,,left_only
629,795098385.0,C,"List of MPs elected in the Czech legislative election, 2013",Czech Republic,,,left_only
630,795377941.0,Stub,Vít Bárta,Czech Republic,,,left_only
631,795807571.0,C,Karl Kautsky,Czech Republic,,,left_only
632,795809115.0,Stub,Karl von Czyhlarz,Czech Republic,,,left_only
633,796253432.0,Stub,Václav Fresl,Czech Republic,,,left_only
634,796403608.0,Start,Josef Václav Frič,Czech Republic,,,left_only
635,796749458.0,C,Tomáš Zdechovský,Czech Republic,,,left_only
636,796751775.0,Stub,Andrea Češková,Czech Republic,,,left_only
637,796752629.0,Stub,Dana Kuchtová,Czech Republic,,,left_only
638,796825099.0,C,Rudolf Margolius,Czech Republic,,,left_only
639,797539957.0,C,František Ladislav Rieger,Czech Republic,,,left_only
640,797842545.0,Start,Petr Mach,Czech Republic,,,left_only
641,798490261.0,Start,Jaroslava Moserová,Czech Republic,,,left_only
642,798648973.0,Stub,Vávra Suk,Czech Republic,,,left_only
643,798686948.0,C,Vojtěch Náprstek,Czech Republic,,,left_only
644,798705619.0,Start,Lubomír Štrougal,Czech Republic,,,left_only
645,798796793.0,B,Jan Krejčí,Czech Republic,,,left_only
646,798944631.0,Stub,Radek John,Czech Republic,,,left_only
647,799301686.0,C,Jan Jesenius,Czech Republic,,,left_only
648,800555146.0,Start,Josef Ježek,Czech Republic,,,left_only
649,800754664.0,Start,Jana Bobošíková,Czech Republic,,,left_only
650,800883412.0,Start,Franz Anton von Kolowrat-Liebsteinsky,Czech Republic,,,left_only
651,800925236.0,C,Viktor Dyk,Czech Republic,,,left_only
652,800925518.0,C,Alois Jirásek,Czech Republic,,,left_only
653,801939668.0,Start,"Alexander von Mensdorff-Pouilly, Prince Dietrichstein von Nicolsburg",Czech Republic,,,left_only
654,801972898.0,Start,Adriana Krnáčová,Czech Republic,,,left_only
655,802013967.0,Stub,Ondřej Liška,Czech Republic,,,left_only
656,802054500.0,Stub,Marcel Chládek,Czech Republic,,,left_only
657,802055280.0,Stub,Miroslava Kopicová,Czech Republic,,,left_only
658,802060218.0,Stub,Milan Chovanec,Czech Republic,,,left_only
659,802060471.0,Stub,František Bublan,Czech Republic,,,left_only
660,802069244.0,C,Jiří Dienstbier Jr.,Czech Republic,,,left_only
661,802360196.0,C,Táňa Fischerová,Czech Republic,,,left_only
662,802365998.0,Stub,Václav Jehlička,Czech Republic,,,left_only
663,802416926.0,Stub,Viliam Široký,Czech Republic,,,left_only
664,802531379.0,Start,Miroslav Lidinský,Czech Republic,,,left_only
665,802834939.0,Start,Petr Cibulka,Czech Republic,,,left_only
666,802875800.0,Stub,Anna Šabatová,Czech Republic,,,left_only
667,803332354.0,C,Adolph Aloys von Braun,Czech Republic,,,left_only
668,803438779.0,Stub,Dana Bérová,Czech Republic,,,left_only
669,803658529.0,C,František Palacký,Czech Republic,,,left_only
670,803709959.0,Stub,Miroslav Kostelka,Czech Republic,,,left_only
671,803793256.0,Stub,Martin Barták,Czech Republic,,,left_only
672,803794383.0,Start,Karolína Peake,Czech Republic,,,left_only
673,803983301.0,Start,Petr Ježek,Czech Republic,,,left_only
674,804093764.0,Stub,František Udržal,Czech Republic,,,left_only
675,804569724.0,C,Václav Havel,Czech Republic,,,left_only
676,804582256.0,Stub,Pavel Fischer,Czech Republic,,,left_only
677,804591494.0,Stub,Eva Tylová,Czech Republic,,,left_only
678,804715205.0,Stub,Dana Jurásková,Czech Republic,,,left_only
679,804715467.0,Stub,Svatopluk Němeček,Czech Republic,,,left_only
680,804820949.0,Stub,Richard Brabec,Czech Republic,,,left_only
681,804868436.0,C,Jan Fischer (politician),Czech Republic,,,left_only
682,804869147.0,Stub,Martin Pecina,Czech Republic,,,left_only
683,804871394.0,Stub,Vlasta Parkanová,Czech Republic,,,left_only
684,804879673.0,Start,Martin Bursík,Czech Republic,,,left_only
685,805037426.0,Start,Lubomír Zaorálek,Czech Republic,,,left_only
686,805084705.0,C,Radola Gajda,Czech Republic,,,left_only
687,805176779.0,C,Karel Schwarzenberg,Czech Republic,,,left_only
688,805179298.0,Stub,Vlasta Svobodová,Czech Republic,,,left_only
689,805352758.0,Start,Ondřej Přikryl,Czech Republic,,,left_only
690,805439919.0,C,Milada Horáková,Czech Republic,,,left_only
691,805824502.0,Stub,Martin Holcát,Czech Republic,,,left_only
692,805946007.0,Stub,Alena Dernerová,Czech Republic,,,left_only
693,806049453.0,Stub,Marian Jurečka,Czech Republic,,,left_only
694,806085100.0,Stub,Pavel Bělobrádek,Czech Republic,,,left_only
695,806231200.0,Stub,Dan Ťok,Czech Republic,,,left_only
696,806490518.0,Stub,Jiří Dienstbier,Czech Republic,,,left_only
697,806504904.0,C,Rudolf Slánský,Czech Republic,,,left_only
698,806537585.0,C,Alexandr Vondra,Czech Republic,,,left_only
699,806538241.0,Stub,Jaroslav Šedivý,Czech Republic,,,left_only
700,806538320.0,C,Cyril Svoboda,Czech Republic,,,left_only
701,806539480.0,Stub,Jan Kohout,Czech Republic,,,left_only
702,806558617.0,Stub,Miloš Vystrčil,Czech Republic,,,left_only
703,806566913.0,C,Alois Eliáš,Czech Republic,,,left_only
704,806569308.0,Stub,Jan Skopeček (politician),Czech Republic,,,left_only
705,806586185.0,Stub,Miloslav Ludvík,Czech Republic,,,left_only
706,806636602.0,Stub,Martin Kupka,Czech Republic,,,left_only
707,806650264.0,Stub,Matěj Stropnický,Czech Republic,,,left_only
708,806669645.0,Stub,Petr Šimerka,Czech Republic,,,left_only
709,806669709.0,Stub,Jaromír Drábek,Czech Republic,,,left_only
710,806669752.0,Stub,Ludmila Müllerová,Czech Republic,,,left_only
711,806672899.0,Stub,Jan Veleba (politician),Czech Republic,,,left_only
712,806673245.0,Stub,František Ringo Čech,Czech Republic,,,left_only
713,806673585.0,Stub,Michaela Marksová,Czech Republic,,,left_only
714,806708361.0,Stub,Robert Pelikán,Czech Republic,,,left_only
715,806708532.0,Stub,Karla Šlechtová,Czech Republic,,,left_only
716,806720477.0,C,Stanislav Gross,Czech Republic,,,left_only
717,806729653.0,Stub,Martin Stropnický,Czech Republic,,,left_only
718,806751902.0,Stub,Leoš Heger,Czech Republic,,,left_only
719,806850638.0,Stub,Bohuslav Svoboda,Czech Republic,,,left_only
720,806876791.0,Stub,Miroslava Němcová,Czech Republic,,,left_only
721,806900987.0,Stub,Zbyněk Stanjura,Czech Republic,,,left_only
722,806988445.0,Stub,Drahomíra Miklošová,Czech Republic,,,left_only
723,806991412.0,C,Václav Klaus Jr.,Czech Republic,,,left_only
724,807058182.0,Start,Dominik Feri,Czech Republic,,,left_only
725,807102237.0,Stub,Alexandra Udženija,Czech Republic,,,left_only
726,807333095.0,Stub,Ivan Pilný,Czech Republic,,,left_only
727,807334610.0,Stub,Marta Semelová,Czech Republic,,,left_only
728,807334657.0,Start,Daniel Herman,Czech Republic,,,left_only
729,807353609.0,Stub,Jan Hamáček,Czech Republic,,,left_only
730,807358143.0,C,Michal Horáček,Czech Republic,,,left_only
731,807382193.0,C,Václav Klaus,Czech Republic,,,left_only
732,807394304.0,Stub,Martin Kuba,Czech Republic,,,left_only
733,807394725.0,Stub,Martin Říman,Czech Republic,,,left_only
734,807399097.0,Stub,Kateřina Valachová,Czech Republic,,,left_only
735,807415625.0,Stub,Vladimír Tošovský,Czech Republic,,,left_only
736,807416099.0,Start,Pavel Svoboda,Czech Republic,,,left_only
737,807420515.0,Start,Petr Fiala,Czech Republic,,,left_only
738,807462107.0,C,Vladimír Špidla,Czech Republic,,,left_only
9359,566504165.0,Stub,Timoteo Menéndez,Salvadoran,,,left_only
9360,679294949.0,Stub,Joaquín Escolán y Balibrera,Salvadoran,,,left_only
9361,705353491.0,Stub,Fermín Palacios,Salvadoran,,,left_only
9362,705353565.0,Stub,Eugenio Aguilar,Salvadoran,,,left_only
9363,705353584.0,Stub,Tomás Medina,Salvadoran,,,left_only
9364,705353647.0,Stub,Ramón Rodríguez (Salvadoran politician),Salvadoran,,,left_only
9365,705353678.0,Stub,Vicente Gómez,Salvadoran,,,left_only
9366,705353843.0,Stub,Lorenzo Zepeda,Salvadoran,,,left_only
9367,705353896.0,Stub,José María Peralta,Salvadoran,,,left_only
9368,705353975.0,Stub,Francisco Menéndez,Salvadoran,,,left_only
9369,705354095.0,Stub,Pedro José Escalón,Salvadoran,,,left_only
9370,705354112.0,Stub,Fernando Figueroa,Salvadoran,,,left_only
9371,705354212.0,Stub,Carlos Meléndez (politician),Salvadoran,,,left_only
9372,705385310.0,Stub,Fabio Castillo Figueroa,Salvadoran,,,left_only
9373,706769596.0,Stub,Ricardo Montenegro,Salvadoran,,,left_only
9374,707399758.0,Start,Rafael Campo,Salvadoran,,,left_only
9375,707400213.0,Stub,Miguel Santín del Castillo,Salvadoran,,,left_only
9376,707403482.0,Stub,Osmín Aguirre y Salinas,Salvadoran,,,left_only
9377,707404888.0,Stub,Eusebio Rodolfo Cordón Cea,Salvadoran,,,left_only
9378,707519272.0,Stub,Juan José Guzmán,Salvadoran,,,left_only
9379,708089470.0,Stub,Juan José Cañas,Salvadoran,,,left_only
9380,710543364.0,Start,José Gregorio Salazar,Salvadoran,,,left_only
9381,710555824.0,Start,Diego Vigil Cocaña,Salvadoran,,,left_only
9382,710578840.0,Start,Nicolás Espinoza,Salvadoran,,,left_only
9383,710677703.0,Start,Pedro Barriere,Salvadoran,,,left_only
9384,710828020.0,Start,Joaquín de San Martín,Salvadoran,,,left_only
9385,714256648.0,Stub,José Félix Quirós,Salvadoran,,,left_only
9386,717903674.0,Stub,Edgardo Carlos Suárez Mallagray,Salvadoran,,,left_only
9387,720419598.0,Stub,Aníbal Portillo,Salvadoran,,,left_only
9388,720478176.0,Stub,José Francisco Valiente,Salvadoran,,,left_only
9389,720623176.0,Stub,Diego de Holguín,Salvadoran,,,left_only
9390,720633452.0,Start,Sigfrido Reyes Morales,Salvadoran,,,left_only
9391,723277343.0,Start,Manuel Enrique Araujo,Salvadoran,,,left_only
9392,730854147.0,Stub,Joaquín Eufrasio Guzmán,Salvadoran,,,left_only
9393,730864227.0,Stub,Francisco Malespín,Salvadoran,,,left_only
9394,733791467.0,Start,Rodrigo Ávila,Salvadoran,,,left_only
9395,736491718.0,Start,Mario Aguiñada Carranza,Salvadoran,,,left_only
9396,738362225.0,Start,David Rodríguez Rivera,Salvadoran,,,left_only
9397,741190933.0,Stub,Carlos Ezeta,Salvadoran,,,left_only
9398,742279612.0,Stub,Andrés Ignacio Menéndez,Salvadoran,,,left_only
9399,743252984.0,Start,Gerardo Barrios,Salvadoran,,,left_only
9400,748418081.0,Start,Rubén Zamora,Salvadoran,,,left_only
9401,749973666.0,Start,Antonio José Cañas,Salvadoran,,,left_only
9402,749976455.0,Stub,José Atilio Benítez Parada,Salvadoran,,,left_only
9403,757618572.0,Start,Violeta Menjívar,Salvadoran,,,left_only
9404,757977772.0,Stub,Santiago González (politician),Salvadoran,,,left_only
9405,758287489.0,Start,Rosa Amelia Guzmán,Salvadoran,,,left_only
9406,758288293.0,C,Gloria Salguero Gross,Salvadoran,,,left_only
9407,765528693.0,Start,David Joaquín Guzmán,Salvadoran,,,left_only
9408,766757526.0,Start,Francisco Gómez (El Salvador President),Salvadoran,,,left_only
9409,769575358.0,Stub,Francisco Dueñas,Salvadoran,,,left_only
9410,770682721.0,Start,Rafael Zaldívar,Salvadoran,,,left_only
9411,774857245.0,Stub,Óscar Ortiz (El Salvador),Salvadoran,,,left_only
9412,777601256.0,Start,José Damián Villacorta,Salvadoran,,,left_only
9413,777602660.0,Stub,José Escolástico Marín,Salvadoran,,,left_only
9414,777612972.0,Start,José María Cornejo,Salvadoran,,,left_only
9415,777613551.0,Stub,José María Peralta Lagos,Salvadoran,,,left_only
9416,777613737.0,Start,José María San Martín,Salvadoran,,,left_only
9417,777613786.0,Start,José María Silva,Salvadoran,,,left_only
9418,777685186.0,Start,Juan Manuel Rodríguez,Salvadoran,,,left_only
9419,777698313.0,Start,Juan Vicente Villacorta Díaz,Salvadoran,,,left_only
9420,778564487.0,C,Juan José Daboub,Salvadoran,,,left_only
9421,779894617.0,Stub,José Arturo Vásquez Machado,Salvadoran,,,left_only
9422,779931580.0,Start,Andrés del Valle,Salvadoran,,,left_only
9423,780552804.0,Start,Lilian Mercedes Letona,Salvadoran,,,left_only
9424,780701356.0,Stub,Carlos Quintanilla Schmidt,Salvadoran,,,left_only
9425,781102914.0,Stub,Enrique Álvarez Córdova,Salvadoran,,,left_only
9426,782520448.0,Stub,Arturo Araujo,Salvadoran,,,left_only
9427,782652818.0,Start,Rubén Alonso Rosales,Salvadoran,,,left_only
9428,783472679.0,Start,Mariano Prado,Salvadoran,,,left_only
9429,784506431.0,Stub,Pío Romero Bosque,Salvadoran,,,left_only
9430,785229840.0,Stub,Alfonso Quiñónez Molina,Salvadoran,,,left_only
9431,786063735.0,Stub,Jorge Meléndez,Salvadoran,,,left_only
9432,786068145.0,Stub,Carmen Elena Figueroa,Salvadoran,,,left_only
9433,786492357.0,Stub,Felipe Codallos,Salvadoran,,,left_only
9434,786492366.0,Stub,Tomás Regalado (Salvadoran politician),Salvadoran,,,left_only
9435,788264133.0,GA,Doroteo Vasconcelos,Salvadoran,,,left_only
9436,788447923.0,C,Alfredo Cristiani,Salvadoran,,,left_only
9437,791821555.0,Start,Óscar Osorio,Salvadoran,,,left_only
9438,791907279.0,Stub,Lourdes Rodríguez de Flores,Salvadoran,,,left_only
9439,791907345.0,Stub,Álvaro Magaña,Salvadoran,,,left_only
9440,791911972.0,B,Salvador Castaneda Castro,Salvadoran,,,left_only
9441,792385744.0,Start,Julio Adalberto Rivera Carballo,Salvadoran,,,left_only
9442,793184472.0,Start,Carlos Salazar Castro,Salvadoran,,,left_only
9443,793642670.0,C,Maximiliano Hernández Martínez,Salvadoran,,,left_only
9444,794052085.0,Stub,Reynaldo Galindo Pohl,Salvadoran,,,left_only
9445,794459622.0,Start,Ciro Cruz Zepeda,Salvadoran,,,left_only
9446,794561394.0,Start,Ana Ligia Mixco Sol de Saca,Salvadoran,,,left_only
9447,794988963.0,Start,Carlos Humberto Romero,Salvadoran,,,left_only
9448,795573859.0,Start,Ana María,Salvadoran,,,left_only
9449,796131598.0,Stub,Arturo Armando Molina,Salvadoran,,,left_only
9450,797151261.0,C,Carlos Eugenio Vides Casanova,Salvadoran,,,left_only
9451,798306895.0,Stub,Miguel Álvarez Castro,Salvadoran,,,left_only
9452,798460321.0,Start,José Guillermo García,Salvadoran,,,left_only
9453,798896224.0,Start,Marisol Argueta de Barillas,Salvadoran,,,left_only
9454,799918049.0,Stub,René Emilio Ponce,Salvadoran,,,left_only
9455,800478736.0,Stub,Guillermo Ungo,Salvadoran,,,left_only
9456,802075785.0,C,Antonio Saca,Salvadoran,,,left_only
9457,802944082.0,Start,Hugo Lindo,Salvadoran,,,left_only
9458,803674894.0,Start,Schafik Handal,Salvadoran,,,left_only
9459,803927035.0,C,Ana Vilma de Escobar,Salvadoran,,,left_only
9460,804134156.0,Start,Juan Lindo,Salvadoran,,,left_only
9461,804528819.0,GA,Mauricio Funes,Salvadoran,,,left_only
9462,804538892.0,Start,Vice President of El Salvador,Salvadoran,,,left_only
9463,804606321.0,C,Francisco Flores Pérez,Salvadoran,,,left_only
9464,804809409.0,C,José Napoleón Duarte,Salvadoran,,,left_only
9465,804991452.0,Start,Armando Calderón Sol,Salvadoran,,,left_only
9466,805353238.0,Start,Fidel Sánchez Hernández,Salvadoran,,,left_only
9467,805474907.0,Start,Rafael Antonio Gutiérrez,Salvadoran,,,left_only
9468,806010405.0,Start,Irma Dimas,Salvadoran,,,left_only
9469,806057984.0,Start,Manuel José Arce,Salvadoran,,,left_only
9470,806101149.0,Stub,President of El Salvador,Salvadoran,,,left_only
9471,806731535.0,C,José Matías Delgado,Salvadoran,,,left_only
9472,806958982.0,B,Vanda Pignato,Salvadoran,,,left_only
9473,807175924.0,Stub,José María Lemus,Salvadoran,,,left_only
9474,807210786.0,C,Salvador Sánchez Cerén,Salvadoran,,,left_only
9475,574571582.0,Stub,Gervas Clay,Rhodesian,,,left_only
9476,669387487.0,Start,Harry Davies (politician),Rhodesian,,,left_only
9477,682576258.0,Start,William Fairbridge,Rhodesian,,,left_only
9478,711506001.0,Stub,Washington Malianga,Rhodesian,,,left_only
9479,712233907.0,Stub,Ronald Snapper,Rhodesian,,,left_only
9480,747497059.0,Stub,Gerald B. Clarke,Rhodesian,,,left_only
9481,763530115.0,Stub,Francis Chaplin,Rhodesian,,,left_only
9482,763533706.0,Start,Roger Hawkins (politician),Rhodesian,,,left_only
9483,763540238.0,Stub,George Mitchell (Rhodesia),Rhodesian,,,left_only
9484,763870152.0,Stub,John Landau,Rhodesian,,,left_only
9485,763951988.0,Start,Byron Hove,Rhodesian,,,left_only
9486,766847256.0,Stub,Hilary Squires,Rhodesian,,,left_only
9487,774837666.0,Stub,Cecil Dennistoun Burney,Rhodesian,,,left_only
9488,780260926.0,Stub,Mark Partridge,Rhodesian,,,left_only
9489,782602484.0,Start,Prime Minister of Rhodesia,Rhodesian,,,left_only
9490,783150296.0,Start,Leo Cardwell Ross,Rhodesian,,,left_only
9491,783150589.0,C,Josiah Gondo,Rhodesian,,,left_only
9492,783301534.0,B,Dunduzu Chisiza,Rhodesian,,,left_only
9493,784562559.0,C,Allan Ross Welsh,Rhodesian,,,left_only
9494,784757829.0,Start,John Moore Caldicott,Rhodesian,,,left_only
9495,784758963.0,Start,John Ralph Beaumont,Rhodesian,,,left_only
9496,784769027.0,Start,Leonard Ray Morgan,Rhodesian,,,left_only
9497,784826325.0,Start,Raleigh Grey,Rhodesian,,,left_only
9498,784830601.0,Start,Robert Clarkson Tredgold,Rhodesian,,,left_only
9499,784831407.0,B,Robert James Hudson,Rhodesian,,,left_only
9500,784870217.0,FA,William Harper (Rhodesian politician),Rhodesian,,,left_only
9501,784974615.0,GA,Rowan Cronjé,Rhodesian,,,left_only
9502,786601705.0,Start,Edgar Whitehead,Rhodesian,,,left_only
9503,786659504.0,Start,Henry Hamilton Beamish,Rhodesian,,,left_only
